                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.94975,                0.79443,                 1.3239,                0.87421,                0.83105,                 0.8911,                0.53546,                 1.3776,                0.74638,                 1.7174,             0.00095186,             0.00095186,             0.00095186
                     68,                0.94673,                0.77589,                 1.3201,                0.88136,                0.83477,                0.89523,                0.53821,                  1.378,                0.74655,                 1.7224,             0.00094085,             0.00094085,             0.00094085
                     68,                0.95184,                0.77175,                 1.3201,                0.87379,                0.83916,                0.89635,                0.54134,                 1.3841,                0.74542,                 1.7167,             0.00094085,             0.00094085,             0.00094085
                     69,                0.94453,                0.77616,                 1.3228,                0.88868,                0.82661,                0.89617,                0.54805,                 1.3713,                0.75609,                 1.7072,             0.00092985,             0.00092985,             0.00092985
                     70,                0.94149,                0.77226,                 1.3166,                0.89245,                0.82858,                0.89393,                0.54365,                 1.3944,                0.75414,                 1.7211,             0.00091885,             0.00091885,             0.00091885
                     71,                  0.935,                0.75788,                 1.3148,                0.89801,                 0.8254,                 0.9019,                0.53936,                 1.4004,                0.75133,                 1.7357,             0.00090785,             0.00090785,             0.00090785
                     72,                0.94609,                 0.7688,                 1.3205,                0.88378,                0.84348,                0.89953,                0.54352,                 1.3762,                0.74035,                 1.7179,             0.00089685,             0.00089685,             0.00089685
                     73,                0.93225,                0.75948,                 1.3119,                0.87875,                 0.8282,                 0.8942,                0.54464,                 1.3713,                0.75427,                 1.7127,             0.00088584,             0.00088584,             0.00088584
                     74,                0.92844,                0.75625,                 1.3146,                0.89034,                0.81918,                0.89057,                0.54434,                 1.3776,                0.73712,                 1.7326,             0.00087484,             0.00087484,             0.00087484
                     75,                0.90564,                0.73719,                 1.3001,                0.88863,                0.83618,                0.89531,                0.53958,                 1.3912,                0.74238,                 1.7277,             0.00086384,             0.00086384,             0.00086384
                     76,                0.91146,                0.73301,                 1.2991,                0.88788,                0.83534,                0.89587,                0.54924,                 1.3698,                0.73317,                 1.7063,             0.00085284,             0.00085284,             0.00085284
                     77,                0.90684,                 0.7391,                 1.3002,                0.87856,                 0.8347,                0.89783,                0.54672,                   1.37,                0.74643,                 1.7185,             0.00084184,             0.00084184,             0.00084184
                     78,                0.89152,                0.72057,                 1.2864,                0.90092,                0.83963,                 0.8977,                0.55063,                 1.3648,                0.71823,                 1.7162,             0.00083083,             0.00083083,             0.00083083
                     79,                0.90868,                0.71917,                 1.2964,                0.89343,                0.82131,                0.88575,                0.54181,                 1.3822,                0.75537,                 1.7433,             0.00081983,             0.00081983,             0.00081983
                     80,                0.88321,                0.71692,                 1.2819,                0.89198,                0.84332,                0.89927,                0.54728,                 1.3858,                0.73283,                 1.7282,             0.00080883,             0.00080883,             0.00080883
                     81,                0.87614,                0.71627,                 1.2747,                0.89407,                0.82943,                0.89636,                 0.5531,                 1.3689,                0.73387,                 1.7169,             0.00079783,             0.00079783,             0.00079783
                     82,                0.87556,                0.70391,                 1.2751,                0.90433,                0.82856,                0.90011,                0.55128,                 1.3764,                0.72641,                  1.745,             0.00078682,             0.00078682,             0.00078682
                     83,                0.87756,                0.69947,                 1.2693,                0.88998,                0.82041,                0.89229,                0.54488,                 1.3774,                0.74058,                 1.7482,             0.00077582,             0.00077582,             0.00077582
                     84,                0.86799,                0.69157,                 1.2662,                0.87581,                0.84315,                0.89558,                0.54568,                 1.3841,                0.72536,                 1.7354,             0.00076482,             0.00076482,             0.00076482
                     85,                0.86819,                0.68848,                 1.2666,                  0.896,                0.83254,                0.89278,                0.54961,                 1.3673,                0.73067,                 1.7326,             0.00075382,             0.00075382,             0.00075382
                     86,                0.86887,                0.69995,                 1.2666,                0.89743,                0.84443,                0.89795,                0.55187,                 1.3771,                0.72349,                 1.7292,             0.00074282,             0.00074282,             0.00074282
                     87,                0.85957,                0.68864,                 1.2605,                0.88552,                0.83451,                0.89067,                0.55249,                 1.3678,                0.72612,                  1.718,             0.00073181,             0.00073181,             0.00073181
                     88,                0.85698,                0.68276,                 1.2606,                0.89724,                0.84105,                0.89543,                0.55101,                 1.3695,                0.71789,                  1.724,             0.00072081,             0.00072081,             0.00072081
                     89,                0.84727,                0.66496,                 1.2575,                0.87971,                0.84078,                0.88682,                0.54693,                 1.3775,                0.73617,                 1.7505,             0.00070981,             0.00070981,             0.00070981
                     90,                0.84439,                0.67427,                 1.2519,                0.88884,                0.83763,                0.88936,                0.54982,                 1.3621,                 0.7178,                 1.7322,             0.00069881,             0.00069881,             0.00069881
                     91,                0.82005,                0.64939,                 1.2368,                0.89097,                0.82752,                0.88917,                0.54885,                  1.376,                0.72084,                 1.7445,              0.0006878,              0.0006878,              0.0006878
                     92,                0.82336,                0.65388,                 1.2407,                0.87362,                0.85205,                0.89836,                0.55985,                 1.3579,                0.69453,                 1.7284,              0.0006768,              0.0006768,              0.0006768
                     93,                0.78191,                0.60737,                 1.2025,                0.89473,                0.83677,                0.89565,                0.55586,                 1.3777,                 0.7128,                 1.7566,              0.0006658,              0.0006658,              0.0006658
                     94,                0.77921,                0.61222,                 1.2109,                0.90736,                0.84113,                0.89906,                0.55993,                 1.3793,                0.70159,                  1.764,              0.0006548,              0.0006548,              0.0006548
                     95,                0.66253,                0.51977,                 1.1301,                0.90791,                0.82015,                  0.887,                0.55299,                 1.3822,                0.73144,                 1.8119,              0.0006438,              0.0006438,              0.0006438
                     96,                 0.6757,                0.52352,                 1.1455,                0.90309,                  0.824,                0.88728,                0.55036,                 1.3961,                0.73004,                 1.8301,             0.00063279,             0.00063279,             0.00063279
                     97,                0.77631,                0.60335,                 1.2048,                0.89521,                0.83881,                0.90053,                0.55312,                 1.4013,                0.71241,                 1.8009,             0.00062179,             0.00062179,             0.00062179
                     98,                0.76833,                 0.5959,                  1.197,                0.89206,                0.83716,                0.89466,                0.55239,                 1.3987,                0.71725,                 1.7941,             0.00061079,             0.00061079,             0.00061079
                     99,                0.77526,                0.59776,                  1.203,                0.91621,                0.82607,                 0.8982,                 0.5486,                 1.4028,                0.70932,                 1.7939,             0.00059979,             0.00059979,             0.00059979
                    100,                0.75747,                0.59933,                 1.1936,                0.89869,                 0.8283,                0.89591,                0.54953,                 1.4029,                0.71967,                 1.8064,             0.00058878,             0.00058878,             0.00058878
                    101,                 0.7494,                0.58399,                 1.1894,                 0.8954,                0.83235,                0.89796,                0.55119,                 1.3911,                0.72465,                 1.7927,             0.00057778,             0.00057778,             0.00057778
                    102,                0.74467,                0.57561,                 1.1851,                0.89836,                0.82781,                0.88927,                 0.5494,                 1.3982,                 0.7193,                 1.8115,             0.00056678,             0.00056678,             0.00056678
                    103,                0.74913,                0.57679,                 1.1867,                0.90925,                0.82534,                0.88994,                0.54752,                 1.3994,                0.71422,                  1.807,             0.00055578,             0.00055578,             0.00055578
                    104,                0.73537,                0.57294,                 1.1809,                0.90116,                0.82791,                0.89398,                0.54896,                 1.3984,                0.71354,                 1.8154,             0.00054478,             0.00054478,             0.00054478
                    105,                 0.7255,                0.55767,                 1.1737,                0.89495,                0.83801,                0.89256,                0.55242,                 1.3967,                0.71724,                 1.8025,             0.00053377,             0.00053377,             0.00053377
                    106,                0.72939,                0.55199,                 1.1733,                0.88668,                 0.8392,                0.89299,                0.55302,                 1.3906,                0.72373,                 1.7969,             0.00052277,             0.00052277,             0.00052277
                    107,                0.72048,                0.55772,                  1.169,                0.89247,                0.82369,                0.88974,                0.55357,                 1.3915,                0.71128,                 1.7951,             0.00051177,             0.00051177,             0.00051177
                    108,                 0.7099,                0.55115,                 1.1599,                0.90614,                0.82379,                0.89201,                0.55574,                 1.3962,                0.71383,                 1.8047,             0.00050077,             0.00050077,             0.00050077
                    109,                0.70687,                0.54805,                 1.1586,                0.91181,                 0.8271,                0.89939,                0.55556,                 1.3949,                0.70915,                  1.818,             0.00048976,             0.00048976,             0.00048976
                    110,                 0.7134,                 0.5451,                 1.1597,                0.90187,                0.82457,                0.89597,                0.55779,                 1.3918,                0.70869,                 1.8189,             0.00047876,             0.00047876,             0.00047876
                    111,                0.71448,                0.54429,                   1.16,                0.90225,                0.82372,                0.88714,                0.55447,                 1.4029,                0.72292,                 1.8336,             0.00046776,             0.00046776,             0.00046776
                    112,                 0.7056,                0.53855,                  1.156,                0.88909,                0.84073,                0.89369,                0.55238,                 1.3987,                0.70526,                 1.8292,             0.00045676,             0.00045676,             0.00045676
                    113,                0.70093,                0.53859,                 1.1532,                 0.8954,                 0.8377,                0.89542,                0.55465,                 1.3931,                0.70679,                 1.8137,             0.00044576,             0.00044576,             0.00044576
                    114,                0.69591,                0.53517,                 1.1515,                0.89954,                0.82722,                0.89475,                0.55101,                  1.401,                0.70862,                 1.8276,             0.00043475,             0.00043475,             0.00043475
                    115,                0.69603,                0.53185,                 1.1516,                0.88893,                0.82731,                0.88751,                0.55367,                 1.4047,                0.72282,                 1.8281,             0.00042375,             0.00042375,             0.00042375
                    116,                0.68814,                 0.5201,                 1.1478,                0.88843,                0.83524,                0.89152,                0.55407,                 1.4006,                0.71835,                 1.8314,             0.00041275,             0.00041275,             0.00041275
