                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.83244,                 1.0038,                 1.2945,                0.83838,                0.80698,                 0.8634,                0.55997,                 1.2415,                 0.7755,                 1.6122,               0.007723,               0.007723,               0.007723
                     72,                0.86799,                 1.0549,                 1.3163,                0.83167,                0.81172,                0.86328,                0.55917,                 1.2438,                0.78019,                 1.6146,                0.00769,                0.00769,                0.00769
                     73,                0.86962,                 1.0485,                  1.316,                0.83287,                0.80978,                0.86286,                0.55816,                 1.2445,                 0.7808,                 1.6171,               0.007657,               0.007657,               0.007657
                     74,                0.86654,                 1.0511,                  1.321,                0.83409,                0.80673,                0.86295,                0.55765,                 1.2453,                0.78273,                 1.6201,               0.007624,               0.007624,               0.007624
                     75,                0.87734,                 1.0587,                  1.326,                0.84274,                0.80355,                0.86336,                0.55825,                  1.245,                 0.7845,                 1.6201,               0.007591,               0.007591,               0.007591
                     76,                 0.8695,                 1.0523,                 1.3182,                0.84055,                0.79844,                  0.862,                0.55716,                 1.2449,                0.78199,                 1.6207,               0.007558,               0.007558,               0.007558
                     77,                0.87171,                 1.0491,                  1.318,                0.83736,                0.79781,                0.86226,                0.55762,                  1.246,                0.78089,                  1.623,               0.007525,               0.007525,               0.007525
                     78,                0.87169,                 1.0557,                 1.3212,                0.84007,                0.79781,                0.86351,                0.55727,                 1.2467,                0.78151,                 1.6222,               0.007492,               0.007492,               0.007492
                     79,                0.87247,                  1.058,                 1.3212,                0.83969,                0.79838,                0.86538,                0.55643,                 1.2463,                0.78169,                 1.6219,               0.007459,               0.007459,               0.007459
                     80,                0.87339,                 1.0531,                 1.3214,                0.83514,                0.79845,                0.86405,                0.55729,                 1.2472,                 0.7808,                  1.623,               0.007426,               0.007426,               0.007426
                     81,                0.87794,                 1.0516,                 1.3181,                0.83796,                0.79703,                0.86457,                 0.5581,                 1.2466,                0.78002,                  1.622,               0.007393,               0.007393,               0.007393
                     82,                0.87105,                 1.0589,                 1.3211,                0.84181,                 0.7937,                 0.8644,                0.55775,                 1.2471,                0.77891,                 1.6218,                0.00736,                0.00736,                0.00736
                     83,                0.87227,                 1.0557,                 1.3198,                 0.8395,                0.79398,                0.86649,                0.55694,                 1.2452,                0.77872,                 1.6191,               0.007327,               0.007327,               0.007327
                     84,                0.87831,                 1.0575,                 1.3213,                0.84302,                0.79016,                0.86529,                0.55704,                 1.2471,                0.77966,                 1.6196,               0.007294,               0.007294,               0.007294
                     85,                0.88382,                 1.0583,                 1.3256,                0.84275,                0.79079,                0.86619,                0.55814,                 1.2472,                   0.78,                 1.6195,               0.007261,               0.007261,               0.007261
                     86,                0.88156,                 1.0599,                 1.3269,                0.83222,                0.79931,                0.86575,                0.55844,                 1.2476,                 0.7813,                 1.6191,               0.007228,               0.007228,               0.007228
                     87,                 0.8768,                  1.059,                 1.3202,                0.82935,                0.80251,                0.86618,                0.55858,                 1.2483,                0.78125,                 1.6193,               0.007195,               0.007195,               0.007195
                     88,                0.88705,                 1.0695,                 1.3275,                0.82855,                 0.8052,                0.86635,                0.55916,                  1.247,                 0.7821,                 1.6168,               0.007162,               0.007162,               0.007162
                     89,                0.88228,                 1.0634,                 1.3244,                0.82176,                 0.8093,                0.86553,                0.55842,                 1.2473,                0.78222,                 1.6163,               0.007129,               0.007129,               0.007129
                     90,                0.88809,                 1.0613,                 1.3276,                0.82181,                0.80925,                0.86524,                0.55837,                 1.2468,                0.78319,                 1.6147,               0.007096,               0.007096,               0.007096
                     91,                0.88611,                 1.0718,                 1.3261,                0.82298,                0.81312,                0.86653,                0.55858,                  1.246,                0.78268,                 1.6131,               0.007063,               0.007063,               0.007063
                     92,                0.88639,                 1.0704,                 1.3248,                0.82115,                0.81031,                0.86581,                0.55913,                 1.2473,                0.78162,                  1.615,                0.00703,                0.00703,                0.00703
                     93,                0.88486,                 1.0563,                 1.3236,                0.81541,                0.81506,                0.86658,                0.55877,                 1.2452,                0.78157,                  1.611,               0.006997,               0.006997,               0.006997
                     94,                0.88224,                 1.0652,                 1.3247,                 0.8173,                0.81633,                  0.866,                0.55868,                 1.2455,                0.78187,                 1.6104,               0.006964,               0.006964,               0.006964
                     95,                 0.8798,                 1.0539,                 1.3212,                0.82255,                0.81312,                0.86562,                 0.5583,                 1.2451,                0.78152,                 1.6096,               0.006931,               0.006931,               0.006931
                     96,                0.87784,                 1.0443,                 1.3206,                0.82153,                0.81184,                0.86471,                0.55912,                 1.2453,                0.78211,                 1.6094,               0.006898,               0.006898,               0.006898
                     97,                0.74095,                 0.8834,                 1.2246,                0.81955,                0.81248,                0.86481,                0.55885,                 1.2465,                0.78363,                 1.6121,               0.006865,               0.006865,               0.006865
                     98,                 0.7898,                 0.9477,                 1.2572,                0.81665,                0.81375,                0.86509,                0.55823,                  1.247,                0.78472,                 1.6127,               0.006832,               0.006832,               0.006832
                     99,                0.80473,                0.95065,                 1.2669,                0.81952,                0.81275,                0.86435,                0.55762,                 1.2467,                0.78633,                 1.6133,               0.006799,               0.006799,               0.006799
